englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
BREATH OF LIFE;ALIENTO VITAL;reaction;CONJURO;5;CONCENTRAR CURACIÓN VITALIDAD;divina;;;Una criatura viva dentro del alcance podría morir.;60 pies (18 m); la criatura desencadenante;;;;"Tu bendición revive a una criatura en el momento de su muerte.
Evitas que el objetivo muera y le restableces 5d8 Puntos de Golpe. No puedes utilizar aliento vital si el efecto desencadenante era un efecto de muerte o uno que no deja restos, como por ejemplo desintegrar.";Potenciado (+2) La curación se incrementa en 1d8.
ALLEGRO;ALLEGRO;one-action;TRUCO;7;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR EMOCIÓN MENTAL TRUCO;;;;;30 pies (9 m); 1 aliado;;;1 asalto;Interpretas rápidamente, acelerando a tu aliado. El aliado queda acelerado y puede utilizar la acción adicional para dar un Golpe, una Zancada o un Paso.;
HALLUCINATION;ALUCINACIÓN;two-actions;CONJURO;5;ILUSIÓN INCAPACITACIÓN MANIPULAR MENTAL DISIMULADO;arcana, ocultista;;;;30 pies (9 m); 1 criatura;;;1 hora;"El objetivo detecta consistentemente una cosa como otra, no puede detectar algo que está o detecta algo que no está, aunque eso no altera sus convicciones. Tú eliges cuál de estos efectos se aplica, y determinas los puntos específicos de la alucinación. Por ejemplo, podrías hacer que el objetivo viera a todos los elfos como humanos, fuera incapaz de detectar la presencia de su hermano, viera su amuleto de la suerte en su persona incluso cuando no está o una torre en el centro de la población.
El objetivo puede hacer una salvación inicial de Voluntad, cuyos efectos se describen más adelante. También obtiene una salvación de Voluntad para descreer la alucinación cada vez que Busca o interacciona directamente con la misma. Por ejemplo, el objetivo podría descreer la alucinación cada vez que interacciona con un elfo, se topa accidentalmente con su hermano, quiere tocar su amuleto o estudia la torre. El objetivo puede descreer con un bonificador por circunstancia grande en situaciones determinadas por el DJ, como por ejemplo si intentara trepar la inexistente torre.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura percibe lo que tú quieres hasta que lo descree, pero sabe que es una alucinación.
Fallo La criatura percibe lo que tú quieres hasta que lo descree.
Fallo crítico La criatura percibe lo que tú quieres hasta que lo descree, y confía en sus falsos sentidos, sufriendo un penalizador -4 por circunstancia a las salvaciones para descreer.";"Potenciado (6.º) Puedes elegir entre designar como objetivo hasta a 10 criaturas o cambiar la duración del conjuro hasta tus siguientes preparativos diarios.
Potenciado (8.º) Puedes elegir entre designar como objetivo a cualquier cantidad de criaturas o cambiar la duración del conjuro a ilimitada."
SOOTHE;AMANSAR;two-actions;CONJURO;1;CONCENTRAR CURACIÓN EMOCIÓN MANIPULAR MENTAL;ocultista;;;;30 pies (9 m); 1 criatura voluntaria;;Reflejos básica;;Bendices la mente del objetivo, reforzando sus defensas mentales y curando sus heridas. El objetivo recupera 1d10+4 Puntos de Golpe cuando Lanzas el conjuro y obtiene un bonificador +2 por estatus a las salvaciones contra los efectos mentales mientras dura éste.;Potenciado (+1) La cantidad de curación se incrementa en 1d10+4.
STUPEFY;ANONADAR;two-actions;CONJURO;2;CONCENTRAR MANIPULAR MENTAL;arcana, ocultista;;;;30 pies (9 m); 1 criatura;;Voluntad; variable;"Nublas la mente del objetivo, dependiendo de su salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito El objeto queda anonadado 1 hasta el inicio de tu siguiente turno.
Fallo El objetivo queda anonadado 2 durante 1 minuto Fallo crítico El objetivo queda anonadado 3 durante 1 minuto.";
APPEARANCE OF WEALTH;APARIENCIA DE RIQUEZA;two-actions;FOCO;1;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO ILUSIÓN MANIPULAR;;;;;30 pies (9 m);; explosión de 5 pies (1,5 m);Voluntad; mantenido hasta 1 minuto;"Creas una previsión de una riqueza inmensa que llena el área del conjuro. Todas las criaturas a 20 pies (6 m) o menos del área que pueden verse tentadas por la riqueza material tienen que hacer una salvación de Voluntad. Una criatura que entra en el área descree automáticamente la ilusión, lo que acaba cualquier estado fascinado impuesto por el conjuro. Mientras Mantienes el conjuro, otras criaturas reaccionan al tesoro como lo harían a cualquier otra ilusión, pero no corren el riesgo de quedar fascinadas.
Éxito crítico La criatura descree la ilusión y no resulta afectada por ella.
Éxito La criatura queda fascinada por la riqueza hasta que ha completado su primera acción de su siguiente turno.
Fallo La criatura queda fascinada por la ilusión.";
SEIZE SOUL;APODERARSE DEL ALMA;two-actions;CONJURO;9;POCO-COMÚN CONCENTRAR MANIPULAR SACRÍLEGO;divina, ocultista;;;;Requisitos un objeto cuyo valor es por lo menos el nivel del objetivo x 100 po 30 pies (9 m); 1 criatura que ha muerto;;;en el último minuto ilimitada;"Atrapas el alma del objetivo en el objeto antes de que el alma pueda transitar a la otra vida. El objeto utilizado para contener el alma puede ser cualquier cosa mientras tenga el valor apropiado. Dicho objeto tiene CA 16 y su Dureza y PG normales. Destruir (no sólo romperlo) un objeto o contrarrestar apoderarse del alma libera a ésta, permitiéndole viajar a la otra vida.
Mientras el alma está en el objeto, al objetivo no se le puede devolver la vida en modo alguno, ni siquiera utilizando magia poderosa como un ritual de deseo. Si el objeto es destruido o apoderarse del alma es contrarrestado sobre el objeto, el alma queda liberada.
Un objeto no puede contener más que un alma, y cualquier intento de añadir otra malgasta el conjuro.
También puedes designar como objetivo a un objeto que contiene un alma atrapada con un segundo lanzamiento del conjuro, lo que destruye el objeto y, o bien libera el alma, o bien la transfiere a un objeto diferente, a tu elección. Esto falla si el objetivo es un artefacto o el alma atrapada es de una criatura de 19.º nivel o superior.";
TREE OF SEASONS;ÁRBOL DE LAS ESTACIONES;two-actions;CONJURO;6;CONCENTRAR MADERA MANIPULAR PLANTA;primigenia;;;;60 pies (18 m);;;;ilimitada;"Haces que un árbol Pequeño brote instantáneamente en un espacio no ocupado del suelo. Del árbol brotan cuatro tegumentos, cada uno lleno con la magia de una (diferente) de las cuatro estaciones.
Una criatura puede Interactuar para arrancar uno de los tegumentos y después arrojarlo hasta a 30 pies (9 m) como parte de la misma acción o hacerlo más tarde mediante una acción diferente de Interactuar. Cuando se lanza, un tegumento detona en una explosión de 5 pies (1,5 m), infligiendo 6d6 daño y teniendo los afectados que hacer una salvación básica de Reflejos contra tu CD de conjuros.
El tipo de daño depende de la estación del tegumento: electricidad para la primavera, fuego para el verano, veneno para el otoño o frío para el invierno. Cuando el conjuro se acaba, el árbol se marchita y cualquier tegumento restante se pudre, dejando atrás unas semillas que no son mágicas.";Potenciado (+1) El daño de la explosión se incrementa en un 1d6.
LIMINAL DOORWAY;ARCADA LIMINAR;;CONJURO;4;POCO-COMÚN CONCENTRAR EXTRADIMENSIONAL MANIPULAR;arcana, ocultista;10 minutos;;;toque;;;;8 horas;"Dibujas con tiza una arcada que se abre a un espacio extradimensional en una superficie ininterrumpida. Toda criatura que trate el dibujo como una puerta real podrá Interactuar para tocar el pomo y atravesarla. La habitación distorsionada y dibujada con tiza más allá de la habitación tiene 20 pies (6 m) de anchura, profundidad y altura. El espacio carece de adornos y está vacío, con líneas de tiza que indican las esquinas de las paredes.
Si el dibujo se frota, se rompe la superficie subyacente o una criatura cuyo volumen superaría la capacidad del espacio intenta entrar en él, el espacio empieza a derrumbarse. El espacio expulsa a una criatura al azar cada asalto, depositándola en la ubicación despejada más cercana, hasta que todas las criaturas han sido devueltas al exterior.";
ELECTRIC  ARC;ARCO ELÉCTRICO;two-actions;TRUCO;1;CONCENTRAR ELECTRICIDAD MANIPULAR TRUCO;arcana, primigenia;;;;30 pies (9 m); 1 o 2 criaturas;;Reflejos básica;;Un arco eléctrico salta de un objetivo a otro. Cada objetivo sufre 2d4 daño por electricidad con una salvación básica de Reflejos.;Potenciado (+1) El daño se incrementa en 1d4.
FATAL ARIA;ARIA FATAL;one-action;FOCO;10;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR EMOCIÓN FOCO;;;;;30 pies (9 m); 1 criatura;;;;"MENTAL MUERTE
Interpretas una música tan perfecta que el objetivo puede morir, o de alegría, o de pena. Una vez designada como objetivo, la criatura queda temporalmente inmune durante 1 minuto. El efecto del conjuro depende del nivel del objetivo y de sus Puntos de Golpe en ese momento.
16.º o menor El objetivo muere instantáneamente.
17.º Si el objetivo tiene 50 Puntos de Golpe o menos, muere instantáneamente; de lo contrario cae a 0 Puntos de Golpe y queda moribundo 1.
18.º o mayor El objetivo sufre 50 daño. Si esto le deja a 0 Puntos de Golpe, muere instantáneamente.";
GRAVITY WEAPON;ARMA DE GRAVEDAD;one-action;FOCO;1;POCO-COMÚN FOCO EXPLORADOR;;;;;;;;;1 minuto;Acumulas fuerza gravitacional y la canalizas a tus golpes, lo que lleva a ataques más poderosos tanto con la espada como con el arco. En tu primer Golpe con arma cada asalto, obtienes un bonificador por estatus al daño igual al doble del número de dados de daño por arma.;
GHOSTLY WEAPON;ARMA FANTASMAL;two-actions;CONJURO;3;CONCENTRAR MANIPULAR;arcana, ocultista;;;;toque; 1 arma, o bien desatendida, o bien;;;5 minutos;"empuñada por ti o por un aliado voluntario.
El arma objetivo se vuelve translúcida y fantasmal y puede afectar a criaturas y objetos tanto materiales como incorporales. Obtiene los efectos de la runa de propiedad toque fantasmal (Manual de dirección), lo que significa que es mágica si antes no lo era, que es especialmente efectiva contra las criaturas incorporales y que puede ser empuñada por una criatura corporal o incorporal.";
RUNIC WEAPON;ARMA RÚNICA;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;arcana, divina, ocultista, primigenia;;;;toque; 1 arma desatendida o empuñada;;;por una criatura voluntaria 1 minuto;El arma brilla con magia al tiempo que unas runas temporales se graban a lo largo de su longitud. El objetivo se convierte en un arma +1 de Golpe, obteniendo un bonificador +1 por objeto a las tiradas de ataque e incrementando a 2 el número de dados de daño por arma.;"Potenciado (6.º) El arma es +2 de golpe mayor.
Potenciado (9.º) El arma es +3 de golpe superior."
MYSTIC ARMOR;ARMADURA MÍSTICA;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;arcana, divina, ocultista, primigenia;;;;;;;;hasta tus siguientes preparativos diarios;Te proteges a ti mismo con una energía mágica brillante, obteniendo un bonificador +1 por objeto a la CA y un modificador máximo por Destreza de +5. Mientras llevas armadura mística, utilizas tu competencia sin armadura para calcular tu CA.;"Potenciado (4.º) Obtienes un bonificador +1 por objeto a las tiradas de salvación.
Potenciado (6.º) El bonificador por objeto a la CA se incrementa a +2, y obtienes un bonificador +1 por objeto a las tiradas de salvación.
Potenciado (8.º) El bonificador por objeto a la CA se incrementa a +2, y obtienes un bonificador +2 por objeto a las tiradas de salvación.
Potenciado (10.º) El bonificador por objeto a la CA se incrementa a +3, y obtienes un bonificador +3 por objeto a las tiradas de salvación."
SPIRITUAL ARMAMENT;ARMAMENTO ESPIRITUAL;two-actions;CONJURO;2;CONCENTRAR ESPÍRITU MANIPULAR SANTIFICADO;divina, ocultista;;;;120 pies (36 m); 1 criatura;;CA; mantenido hasta 1 minuto;"Creas un eco fantasmal y mágico de un arma que empuñas o llevas y lo arrojas. Haz una tirada de ataque especial contra la CA del objetivo, infligiendo 2d8 daño con un impacto (o doble daño con un impacto crítico). El tipo de daño es el mismo que el del arma elegida (o cualquiera de sus tipos para un arma versátil). En su lugar, el ataque inflige daño espiritual si eso perjudica más a la criatura (a determinar por el DJ). Este ataque utiliza tu penalizador por ataque múltiple y contribuye al mismo. Después del ataque, el alma vuelve a tu lado. Si santificas el arma, los ataques también son santificados.
Cada vez que mantienes el conjuro, puedes repetir el ataque contra cualquier criatura a 120 pies (36 m) o menos.";Potenciado (+2) El daño se incrementa en 1d8.
HURTLING STONE;ARROJAR PIEDRA;one-action;FOCO;1;POCO-COMÚN ATAQUE CLÉRIGO FOCO MANIPULAR TIERRA;;;;;60 pies (18 m); 1 criatura;;CA;;"Evocas una piedra mágica y la arrojas, utilizando una guía divina para apuntar mejor. La piedra inflige 2d6 daño contundente dependiendo de tu tirada de ataque de conjuro contra la CA del objetivo.
Éxito crítico El objetivo sufre doble daño y puedes empujarlo hasta 10 pies (3 m).
Éxito El objetivo sufre daño completo y puedes empujarlo hasta 10 pies (3 m).";Potenciado (+1) El daño de la piedra se incrementa en 1d6.
SPELLWRACK;ARRUINACONJUROS;two-actions;CONJURO;6;CONCENTRAR FUERZA MALDICIÓN MANIPULAR;arcana, divina, ocultista;;;;30 pies (9 m); 1 criatura;;Voluntad;;"Haces que cualquier conjuro lanzado sobre el objetivo descargue su energía en oleadas dañinas. El objetivo tiene que llevar a cabo una salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito Cuando el objetivo resulta afectado por un conjuro con duración, sufre 2d12 daño persistente por fuerza. Cada vez que sufre daño persistente por fuerza debido a arruinaconjuros, reduce en 1 asalto la duración restante de los conjuros que le afectan. Sólo una prueba con éxito de Arcanos contra tu CD de conjuros puede ayudar al objetivo a recuperarse del daño persistente; la maldición y el daño persistente acaban después de 1 minuto.
Fallo Igual que éxito, pero la maldición y el daño persistente no acaban por sí solos.
Fallo crítico Igual que fallo, pero el daño persistente por fuerza es 4d12.";
PLANAR TETHER;ATADURA PLANARIA;two-actions;CONJURO;4;CONCENTRAR MANIPULAR;arcana, divina, ocultista;;;;30 pies (9 m); 1 criatura;;Voluntad; variable;"Amarras el objetivo a su Plano actual. Mientras el objetivo está afectado por atadura planaria, el conjuro contrarresta cualquier efecto de teletransporte que movería al objetivo, o cualquier efecto que lo transportaría a un Plano diferente. La duración de atadura planaria viene determinada por la salvación de Voluntad del objetivo.
Éxito crítico El objetivo no resulta afectado Éxito La duración es 1 minuto.
Fallo La duración es 10 minutos.
Fallo crítico La duración es 1 hora.";
LAUGHING FIT;ATAQUE DE RISA;two-actions;CONJURO;2;CONCENTRAR EMOCIÓN MANIPULAR MENTAL;arcana, ocultista;;;;30 pies (9 m); 1 criatura viva;;Voluntad; mantenido;"El objetivo se ve abrumado por una risa incontrolable. Tiene que hacer una salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo resulta afectado por una risa incontrolable. No puede utilizar reacciones.
Fallo El objetivo queda lentificado 1 y no puede utilizar reacciones.
Fallo crítico El objetivo queda tumbado y no puede utilizar acciones o reacciones durante 1 asalto. A continuación sufre los efectos de un fallo.";
GENTLE LANDING;ATERRIZAJE SUAVE;reaction;CONJURO;1;AIRE CONCENTRAR;arcana, primigenia;;;Una criatura dentro del alcance está cayendo.;60 pies (18 m); 1 criatura que cae;;;1 minuto;Alzas una corriente de aire mágica para detener una caída. La caída del objetivo se lentifica hasta 60 pies (18 m) por asalto, y la distancia que cae mientras el hechizo está activo no cuenta para calcular el daño por caída. Si el objetivo llega a tierra con el conjuro aún en funcionamiento, no sufre daño alguno por caída. El conjuro se acaba en cuanto el objetivo aterriza.;
OVERSTUFF;ATIBORRAR;two-actions;FOCO;1;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO MANIPULAR;;;;;30 pies (9 m); 1 criatura viva;;Fortaleza;;"Enormes cantidades de comida y de bebida llenan al objetivo, que obtiene el valor de nutrición equivalente a una comida completa y tiene que hacer una salvación de Fortaleza. Un objetivo indispuesto por este conjuro sufre un penalizador -10 pies (3 m) por estatus a su Velocidad hasta que deja de estarlo.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo queda indispuesto 1, pero si invierte una acción para acabar con el estado, tiene éxito de forma automática.
Fallo El objetivo queda indispuesto 1.
Fallo crítico El objetivo queda indispuesto 2.";
GLIMPSE THE TRUTH;ATISBAR LA VERDAD;one-action;FOCO;4;POCO-COMÚN AURA CLÉRIGO FOCO MANIPULAR REVELACIÓN;;;;;;;emanación de 30 pies (9 m);;1 asalto;Una inspiración divina te permite ver las cosas como son, sin el velo de intento alguno de encubrir mágicamente la verdad. El DJ hace una prueba secreta de contrarrestar contra cada ilusión que está por lo menos parcialmente dentro del área. En lugar de contrarrestar la ilusión, ves a través de la misma (por ejemplo, si la prueba tiene éxito contra un conjuro de disfraz ilusorio, ves la auténtica forma de la criatura pero disfraz ilusorio no se acaba). Cada vez que una nueva ilusión entra en el área mientras dura el conjuro, el DJ hace una prueba secreta de contrarrestar para dicha ilusión.;Potenciado (7.º) Podrás permitir a cualquiera que esté dentro del alcance de la emanación vea a través de cualquier ilusión contra la que tengas éxito, y no solamente tú.
DAZE;ATONTAR;two-actions;TRUCO;1;CONCENTRAR MANIPULAR MENTAL NO-LETAL TRUCO;arcana, divina, ocultista;;;;60 pies (18 m); 1 criatura;;Voluntad; 1 asalto;Te introduces en la mente del objetivo y lo aturdes con una sacudida mental. La sacudida inflige 1d6 daño mental con una salvación básica de Voluntad. Si el objetivo falla críticamente la salvación, queda también aturdido 1.;Potenciado (+2) El daño se incrementa en 1d6.
AUGURY;AUGURIO;;CONJURO;2;CONCENTRAR MANIPULAR PREDICCIÓN;divina, ocultista;10 minutos;;;;;;;;"Obtienes un vago atisbo del futuro. Durante el lanzamiento de este conjuro, preguntas por el resultado de un curso de acción en particular. El conjuro puede predecir resultados hasta 30 minutos en el futuro y revelar la mejor predicción del DJ de entre los siguientes resultados: bueno, malo, mixto (el resultado será una mezcla de bueno y malo) y nada (no habrá resultados particularmente buenos ni malos).
El DJ hace una prueba plana CD 6 en secreto. Con un fallo, el resultado es siempre ‘nada’. Esto hace imposible decir si un resultado de ‘nada’ es exacto. Si alguien pregunta acerca del mismo tema que el primer lanzamiento de augurio durante un lanzamiento adicional, el DJ utiliza el resultado de la tirada secreta del primer lanzamiento.
Sin embargo, si las circunstancias cambian, es posible obtener un resultado diferente.";
WAILS OF THE DAMNED;AULLIDOS DE LOS CONDENADOS;two-actions;CONJURO;9;AUDITIVO CONCENTRAR MANIPULAR MUERTE VACÍO;divina, ocultista;;;;;;emanación de 40 pies (12 m);Fortaleza;;"Aúllas el lamento de las almas condenadas. Cada enemigo vivo en el área sufre 8d10 daño por vacío dependiendo de su salvación de Fortaleza.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura sufre daño completo.
Fallo La criatura sufre daño completo y queda drenada 1d4.
Fallo crítico La criatura sufre doble daño y queda drenada 4.";
DESTRUCTIVE AURA;AURA DESTRUCTIVA;two-actions;FOCO;4;POCO-COMÚN AURA CLÉRIGO CONCENTRAR FOCO MANIPULAR;;;;;;;emanación de 15 pies (4,5 m);;1 minuto;Unas arenas giratorias de devastación divina te rodean, debilitando las defensas de todos a quienes tocan. Reduce en 2 tu resistencia y la de todas las criaturas en el área.;Potenciado (+2) Reduce en 2 más las resistencias.
